Nr,Tweets,bow
255,"['morning', 'hope']","[(223, 1), (224, 1)]"
256,"['girls', 'story']","[(28, 1), (29, 1)]"
257,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
258,"['killswitchkatie', 'reverb', 'iron']","[(225, 1), (226, 1), (227, 1)]"
261,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
263,"['birthday', 'month', 'babies']","[(44, 1), (128, 1), (166, 1)]"
264,"['scott', 'kaiya']","[(167, 1), (168, 1)]"
265,['flame'],"[(169, 1)]"
267,"['justbo', 'smoke', 'solved']","[(170, 1), (171, 1), (172, 1)]"
269,"['page', 'paper']","[(173, 1), (174, 1)]"
270,['caineee'],"[(175, 1)]"
273,"['retweet', 'explosive', 'interview', 'french', 'microbiologist', 'monta']","[(176, 1), (177, 1), (178, 1), (179, 1), (180, 1), (181, 1)]"
275,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
279,"['antonio', 'armed', 'protesters', 'storm', 'michigan', 'capital', 'bullet', 'proof', 'vests', 'vote', 'lockdown']","[(182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1)]"
280,"['moonchild', 'mikrokosmos']","[(193, 1), (194, 1)]"
281,['straight'],"[(195, 1)]"
282,"['hamz', 'baby']","[(196, 1), (197, 1)]"
283,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
285,['excuse'],"[(119, 1)]"
288,['quran'],"[(105, 1)]"
289,"['lindo', 'cafe']","[(106, 1), (107, 1)]"
290,"['etsy', 'shop', 'flower', 'nacre', 'pendant', 'necklace', 'gold', 'cable', 'pink']","[(108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 1), (115, 1), (116, 1)]"
291,"['morning', 'hope']","[(223, 1), (224, 1)]"
293,['jonnyco'],"[(228, 1)]"
294,"['nicki', 'wowww']","[(229, 1), (230, 1)]"
295,"['chess', 'player', 'chess', 'piece']","[(71, 2), (72, 1), (73, 1)]"
296,"['james', 'harden', 'playoff', 'series', 'klay', 'thompson', 'kevin', 'durant', 'andre', 'iguodala']","[(198, 1), (199, 1), (231, 1), (232, 1), (233, 1), (234, 1), (235, 1), (236, 1), (237, 1), (238, 1)]"
298,"['time', 'door', 'shockedddd']","[(76, 1), (239, 1), (240, 1)]"
299,"['agent', 'provacatuer', 'submissions']","[(241, 1), (242, 1), (243, 1)]"
303,"['times', 'hard']","[(83, 1), (244, 1)]"
305,"['called', 'beyonc', 'culture', 'vulture']","[(245, 1), (246, 1), (247, 1), (248, 1)]"
306,"['slow', 'dark', 'contact']","[(220, 1), (249, 1), (250, 1)]"
307,"['brivtz', 'cryinggggg']","[(251, 1), (252, 1)]"
308,"['deathreggies', 'white']","[(253, 1), (254, 1)]"
