Nr,Tweets,bow
17631,['boss'],"[(3401, 1)]"
17635,['late'],"[(1501, 1)]"
17637,"['production', 'metrics', 'manufacturing', 'companies']","[(1597, 1), (1801, 1), (3663, 1), (5035, 1)]"
17638,"['dickinson', 'lease', 'listing']","[(5502, 1), (5503, 1), (5504, 1)]"
17639,"['constitutional', 'protections', 'wide', 'disc']","[(2704, 1), (3225, 1), (5538, 1), (5539, 1)]"
17641,['thegifgoat'],"[(5540, 1)]"
17642,"['lyrikkal', 'baby']","[(196, 1), (5541, 1)]"
17643,"['luis', 'welcome']","[(210, 1), (211, 1)]"
17644,['thanks'],"[(1082, 1)]"
17645,"['meatballs', 'foodie', 'meals', 'simple', 'easy', 'recipe']","[(484, 1), (976, 1), (2010, 1), (3648, 1), (5542, 1), (5543, 1)]"
17648,"['front', 'yard']","[(1306, 1), (5544, 1)]"
17649,['repor'],"[(5545, 1)]"
17650,"['social', 'media', 'lowkey', 'dying']","[(65, 1), (98, 1), (151, 1), (5347, 1)]"
17651,"['urgent', 'message', 'barnier', 'independence']","[(362, 1), (363, 1), (364, 1), (365, 1)]"
17652,"['labsguy', 'nehajj']","[(5546, 1), (5547, 1)]"
17653,"['chris', 'brown', 'drake']","[(214, 1), (471, 1), (472, 1)]"
17654,"['happy', 'birthday', 'gigi', 'mambacita']","[(44, 1), (45, 1), (5548, 1), (5549, 1)]"
17655,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
17656,"['america', 'intelligence', 'puppet', 'agent', 'average', 'bough']","[(241, 1), (1184, 1), (3005, 1), (3502, 1), (5550, 1), (5551, 1)]"
17660,"['saysoremix', 'dojacat', 'nickiminaj']","[(3455, 1), (5552, 1), (5553, 1)]"
17662,['drake'],"[(214, 1)]"
17664,['agony'],"[(5554, 1)]"
17665,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17668,"['girl', 'friday', 'music', 'singer', 'songwriter', 'neuroscience', 'neophyte']","[(79, 1), (163, 1), (258, 1), (5555, 1), (5556, 1), (5557, 1), (5558, 1)]"
17669,"['unfollowed', 'doja']","[(490, 1), (5341, 1)]"
17670,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
17673,['legenduniverse'],"[(2640, 1)]"
17674,"['pellington', 'mrroyster']","[(4124, 1), (4125, 1)]"
17676,"['walmartswarrior', 'morning']","[(224, 1), (5559, 1)]"
17677,"['heard', 'beat', 'redboy', 'rebelina']","[(1662, 1), (5560, 1), (5561, 1), (5562, 1)]"
17679,"['john', 'hospital']","[(259, 1), (3126, 1)]"
17680,"['nychloee', 'firm', 'believer']","[(2910, 1), (2911, 1), (2912, 1)]"
17682,"['paco', 'chanclas', 'couldn']","[(217, 1), (5563, 1), (5564, 1)]"
17683,"['rrraylainaaa', 'bearr', 'power', 'dream', 'lmaoooo', 'ship']","[(542, 1), (603, 1), (1784, 1), (5021, 1), (5193, 1), (5565, 1)]"
17685,['flame'],"[(169, 1)]"
17687,"['league', 'leaders', 'breaking', 'news', 'outlaws', 'fuel', 'monday']","[(402, 1), (1357, 1), (1724, 1), (3530, 1), (5566, 1), (5567, 1), (5568, 1)]"
17689,"['noturgeminii', 'nail', 'salon', 'manicure', 'sets', 'online']","[(11, 1), (3715, 1), (4606, 1), (4761, 1), (5569, 1), (5570, 1)]"
17690,"['amzn', 'price', 'target', 'pivotal', 'amzn', 'amzn']","[(2171, 1), (2757, 1), (3879, 3), (5571, 1)]"
17691,"['luis', 'welcome']","[(210, 1), (211, 1)]"
17693,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
17694,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17696,['bramtyjuliette'],"[(5526, 1)]"
17697,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17698,"['postin', 'whooping']","[(5527, 1), (5528, 1)]"
17699,"['moderate', 'conflict', 'resolution', 'behavior', 'punishment']","[(581, 1), (2453, 1), (5529, 1), (5530, 1), (5531, 1)]"
17700,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
17702,"['stephrenee', 'tara', 'assault', 'claim']","[(1897, 1), (3249, 1), (4313, 1), (5377, 1)]"
17704,['quarantine'],"[(2666, 1)]"
17705,"['gold', 'skin', 'puro', 'gold', 'official', 'audio']","[(111, 2), (671, 1), (2463, 1), (3482, 1), (5572, 1)]"
17706,"['friday', 'wouldn']","[(258, 1), (3066, 1)]"
17708,"['accountability', 'coach']","[(1835, 1), (5573, 1)]"
17710,['justin'],"[(4116, 1)]"
17711,"['ageful', 'unsold', 'clearance', 'sale']","[(2698, 1), (5574, 1), (5575, 1), (5576, 1)]"
17713,['flame'],"[(169, 1)]"
17716,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
17718,['goldenbitch'],"[(5577, 1)]"
17719,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17720,"['cassielaconeja', 'scoobmh', 'everyday']","[(3972, 1), (5578, 1), (5579, 1)]"
17721,"['tara', 'reade']","[(1894, 1), (1897, 1)]"
17722,"['chris', 'brown', 'drake']","[(214, 1), (471, 1), (472, 1)]"
17723,"['dstrang', 'boilermaker', 'zephyr']","[(5343, 1), (5344, 1), (5345, 1)]"
17724,['soooo'],"[(5233, 1)]"
17727,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
17730,['daft'],"[(5580, 1)]"
17731,"['peter', 'strzok', 'eminem', 'lose', 'yourself']","[(614, 1), (615, 1), (616, 1), (617, 1), (618, 1)]"
17732,"['seth', 'rollins']","[(1329, 1), (5581, 1)]"
17733,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
17736,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
17737,"['happy', 'friday', 'folks', 'league', 'city', 'texas']","[(45, 1), (121, 1), (258, 1), (493, 1), (1619, 1), (3530, 1)]"
17738,"['cute', 'shirts', 'link', 'jeans', 'whitejeans']","[(387, 1), (501, 1), (1449, 1), (5582, 1), (5583, 1)]"
17739,['twitter'],"[(27, 1)]"
17740,"['aliv', 'makeup', 'name']","[(1245, 1), (5584, 1), (5585, 1)]"
17741,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17743,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17744,['mess'],"[(1881, 1)]"
17745,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
17746,"['surprising', 'clubhouse', 'kids', 'backyard', 'youtube']","[(283, 1), (432, 1), (5586, 1), (5587, 1), (5588, 1)]"
17747,"['constitutional', 'protections', 'wide', 'disc']","[(2704, 1), (3225, 1), (5538, 1), (5539, 1)]"
17749,['thegifgoat'],"[(5540, 1)]"
17750,"['lyrikkal', 'baby']","[(196, 1), (5541, 1)]"
17751,"['luis', 'welcome']","[(210, 1), (211, 1)]"
17752,['thanks'],"[(1082, 1)]"
17753,"['meatballs', 'foodie', 'meals', 'simple', 'easy', 'recipe']","[(484, 1), (976, 1), (2010, 1), (3648, 1), (5542, 1), (5543, 1)]"
17756,"['front', 'yard']","[(1306, 1), (5544, 1)]"
17757,['repor'],"[(5545, 1)]"
17758,"['social', 'media', 'lowkey', 'dying']","[(65, 1), (98, 1), (151, 1), (5347, 1)]"
17759,"['urgent', 'message', 'barnier', 'independence']","[(362, 1), (363, 1), (364, 1), (365, 1)]"
17760,"['labsguy', 'nehajj']","[(5546, 1), (5547, 1)]"
17761,"['chris', 'brown', 'drake']","[(214, 1), (471, 1), (472, 1)]"
17762,"['happy', 'birthday', 'gigi', 'mambacita']","[(44, 1), (45, 1), (5548, 1), (5549, 1)]"
17763,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
17764,"['america', 'intelligence', 'puppet', 'agent', 'average', 'bough']","[(241, 1), (1184, 1), (3005, 1), (3502, 1), (5550, 1), (5551, 1)]"
17768,"['saysoremix', 'dojacat', 'nickiminaj']","[(3455, 1), (5552, 1), (5553, 1)]"
17770,['drake'],"[(214, 1)]"
17772,['agony'],"[(5554, 1)]"
17773,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17775,['morning'],"[(224, 1)]"
17776,"['poooowwww', 'truck', 'knockout', 'night', 'piece', 'city', 'freight']","[(72, 1), (493, 1), (695, 1), (783, 1), (1471, 1), (5589, 1), (5590, 1)]"
17777,['friday'],"[(258, 1)]"
17778,['morning'],"[(224, 1)]"
17779,"['rrraylainaaa', 'bearr', 'boat']","[(3730, 1), (5021, 1), (5193, 1)]"
17781,"['black', 'woman', 'weight']","[(39, 1), (322, 1), (5591, 1)]"
17785,"['texas', 'coronavirus', 'death', 'toll', 'thursday']","[(121, 1), (682, 1), (892, 1), (1689, 1), (1690, 1)]"
17787,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
17789,"['opera', 'scenery', 'painters']","[(4792, 1), (5592, 1), (5593, 1)]"
17790,"['favorite', 'media', 'moment']","[(97, 1), (98, 1), (99, 1)]"
17792,"['family', 'dinner', 'parents', 'food', 'wonderful', 'sexdemon']","[(94, 1), (624, 1), (1771, 1), (1869, 1), (4429, 1), (5594, 1)]"
17794,"['fictional', 'character', 'pcornwell', 'book']","[(260, 1), (3779, 1), (5595, 1), (5596, 1)]"
17796,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17797,['morning'],"[(224, 1)]"
17800,"['annoying', 'sound', 'morning']","[(224, 1), (1596, 1), (5597, 1)]"
17802,"['hawla', 'quwwata', 'illa', 'billaah']","[(4110, 1), (4111, 1), (4112, 1), (4113, 1)]"
17803,['trial'],"[(53, 1)]"
17804,"['toyota', 'center', 'happy', 'birthday', 'travis']","[(44, 1), (45, 1), (442, 1), (1846, 1), (4383, 1)]"
17805,"['amazing', 'msmistheenemyofthepeople']","[(2434, 1), (5598, 1)]"
17806,"['corona', 'virus']","[(640, 1), (2369, 1)]"
17809,"['championship', 'finals', 'defensive', 'player']","[(73, 1), (1424, 1), (1425, 1), (1426, 1)]"
17810,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
17811,['bodied'],"[(5599, 1)]"
17813,['false'],"[(3974, 1)]"
17814,['grow'],"[(4329, 1)]"
17815,"['duke', 'boys']","[(215, 1), (3074, 1)]"
17816,"['tashhhhh', 'tasha']","[(5600, 1), (5601, 1)]"
17818,['name'],"[(1245, 1)]"
17821,"['texas', 'coronavirus', 'death', 'toll', 'thursday']","[(121, 1), (682, 1), (892, 1), (1689, 1), (1690, 1)]"
17823,['twitter'],"[(27, 1)]"
17825,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
17826,['varneyco'],"[(5602, 1)]"
17827,"['schs', 'senior', 'spotlight', 'carson', 'fenwick', 'texas', 'university']","[(121, 1), (521, 1), (1278, 1), (1280, 1), (2156, 1), (5493, 1), (5603, 1)]"
17829,"['fcnn', 'broadcast']","[(5604, 1), (5605, 1)]"
17831,['jacena'],"[(5606, 1)]"
17833,"['gold', 'skin', 'puro', 'gold', 'official', 'audio']","[(111, 2), (671, 1), (2463, 1), (3482, 1), (5572, 1)]"
17834,"['friday', 'wouldn']","[(258, 1), (3066, 1)]"
17836,"['accountability', 'coach']","[(1835, 1), (5573, 1)]"
17838,['justin'],"[(4116, 1)]"
17839,"['ageful', 'unsold', 'clearance', 'sale']","[(2698, 1), (5574, 1), (5575, 1), (5576, 1)]"
17841,['flame'],"[(169, 1)]"
17844,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
17845,"['strip', 'club', 'galleria']","[(611, 1), (613, 1), (4659, 1)]"
17846,"['drake', 'main', 'course']","[(214, 1), (2055, 1), (2741, 1)]"
17848,"['pridefuisin', 'metal']","[(5607, 1), (5608, 1)]"
17849,"['arifleischer', 'chief', 'turkey', 'saudis']","[(1507, 1), (5609, 1), (5610, 1), (5611, 1)]"
17852,"['friskycosplay', 'series', 'girl']","[(163, 1), (237, 1), (4491, 1)]"
17853,['titty'],"[(4919, 1)]"
17854,"['mango', 'chicken', 'recipe', 'easy', 'quick', 'chicken', 'recipe']","[(484, 1), (564, 1), (976, 2), (3985, 2), (5387, 1)]"
17855,"['dems', 'china', 'trump']","[(4, 1), (5, 1), (5612, 1)]"
17856,['tommy'],"[(315, 1)]"
17857,"['mikefletcher', 'happy', 'friday']","[(45, 1), (258, 1), (5613, 1)]"
17858,['houston'],"[(131, 1)]"
17859,['youtube'],"[(432, 1)]"
17861,"['luis', 'welcome']","[(210, 1), (211, 1)]"
17862,"['flynn', 'cooper', 'deep']","[(0, 1), (124, 1), (5282, 1)]"
17864,['banana'],"[(1029, 1)]"
17866,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
17867,"['carpe', 'diem']","[(5614, 1), (5615, 1)]"
17869,"['removing', 'crayon', 'fridge']","[(5616, 1), (5617, 1), (5618, 1)]"
17872,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
17875,"['troll', 'message', 'pseudoscience', 'dange']","[(364, 1), (5619, 1), (5620, 1), (5621, 1)]"
17876,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17878,"['zmoney', 'casino', 'goodfellas']","[(5622, 1), (5623, 1), (5624, 1)]"
17880,"['roderick', 'strong']","[(3627, 1), (5625, 1)]"
17881,"['rated', 'nataliecuellar', 'elizabetymee']","[(5286, 1), (5626, 1), (5627, 1)]"
17882,"['amber', 'alert']","[(746, 1), (4896, 1)]"
17883,['quarantine'],"[(2666, 1)]"
17885,"['jackie', 'chan']","[(958, 1), (959, 1)]"
17887,['stimulus'],"[(1633, 1)]"
17888,['holy'],"[(2213, 1)]"
17889,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
17891,"['mctx', 'mayor', 'yolanda', 'ford', 'distribution', 'tomorrow']","[(80, 1), (2027, 1), (3905, 1), (5628, 1), (5629, 1), (5630, 1)]"
17902,['morning'],"[(224, 1)]"
17903,"['poooowwww', 'truck', 'knockout', 'night', 'piece', 'city', 'freight']","[(72, 1), (493, 1), (695, 1), (783, 1), (1471, 1), (5589, 1), (5590, 1)]"
17904,['friday'],"[(258, 1)]"
17905,['morning'],"[(224, 1)]"
17906,"['rrraylainaaa', 'bearr', 'boat']","[(3730, 1), (5021, 1), (5193, 1)]"
17908,"['black', 'woman', 'weight']","[(39, 1), (322, 1), (5591, 1)]"
17912,"['texas', 'coronavirus', 'death', 'toll', 'thursday']","[(121, 1), (682, 1), (892, 1), (1689, 1), (1690, 1)]"
17914,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
17916,"['opera', 'scenery', 'painters']","[(4792, 1), (5592, 1), (5593, 1)]"
17917,"['favorite', 'media', 'moment']","[(97, 1), (98, 1), (99, 1)]"
17919,"['family', 'dinner', 'parents', 'food', 'wonderful', 'sexdemon']","[(94, 1), (624, 1), (1771, 1), (1869, 1), (4429, 1), (5594, 1)]"
17921,"['fictional', 'character', 'pcornwell', 'book']","[(260, 1), (3779, 1), (5595, 1), (5596, 1)]"
17923,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17924,['morning'],"[(224, 1)]"
17927,"['malik', 'esco', 'hardest']","[(1183, 1), (5631, 1), (5632, 1)]"
17928,"['post', 'hurt', 'audacity']","[(1111, 1), (1745, 1), (5633, 1)]"
17930,['type'],"[(125, 1)]"
17931,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
17932,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
17934,"['pellington', 'mrroyster']","[(4124, 1), (4125, 1)]"
17935,"['shesoraw', 'ghetto']","[(4105, 1), (5634, 1)]"
17937,"['community', 'family', 'fields']","[(8, 1), (94, 1), (4937, 1)]"
17942,"['sentedcruz', 'step', 'advice']","[(1049, 1), (1656, 1), (5517, 1)]"
17943,['trickfortazz'],"[(470, 1)]"
17944,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
17946,"['executive', 'producer', 'ayodeji', 'balogun']","[(1981, 1), (4247, 1), (4248, 1), (4249, 1)]"
17947,['wasn'],"[(1917, 1)]"
17948,['quran'],"[(105, 1)]"
17950,"['friday', 'perfection']","[(258, 1), (5635, 1)]"
17953,"['tara', 'reade', 'issue', 'disgusting', 'tactic']","[(1491, 1), (1894, 1), (1897, 1), (2701, 1), (2702, 1)]"
17954,['jerkaekae'],"[(5636, 1)]"
17955,"['domestic', 'violence', 'pray']","[(1412, 1), (3289, 1), (3293, 1)]"
17957,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
17960,"['lust', 'life', 'lana', 'weeknd']","[(138, 1), (5637, 1), (5638, 1), (5639, 1)]"
17962,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
17965,"['hvrrison', 'delete', 'twitter']","[(27, 1), (3678, 1), (5640, 1)]"
17967,"['wandering', 'beautiful', 'plant', 'called']","[(246, 1), (2304, 1), (4345, 1), (5641, 1)]"
17968,"['iggy', 'azalea', 'boyfriend', 'playboi', 'carti']","[(203, 1), (204, 1), (1265, 1), (5642, 1), (5643, 1)]"
17969,"['ptsd', 'chainsaw', 'bayonet']","[(5644, 1), (5645, 1), (5646, 1)]"
17971,"['polls', 'aren', 'pillow', 'soft', 'society']","[(329, 1), (330, 1), (331, 1), (332, 1), (333, 1)]"
17972,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
17975,"['grocery', 'store', 'grocery']","[(2491, 1), (4850, 2)]"
17977,"['nasa', 'black', 'blob', 'twitter']","[(27, 1), (39, 1), (40, 1), (41, 1)]"
17978,"['peter', 'strzok', 'eminem', 'lose', 'yourself']","[(614, 1), (615, 1), (616, 1), (617, 1), (618, 1)]"
17979,['noon'],"[(1373, 1)]"
17980,"['allah', 'almighty']","[(1602, 1), (3086, 1)]"
17981,"['strip', 'club', 'galleria']","[(611, 1), (613, 1), (4659, 1)]"
17982,"['drake', 'main', 'course']","[(214, 1), (2055, 1), (2741, 1)]"
17984,"['pridefuisin', 'metal']","[(5607, 1), (5608, 1)]"
17985,"['arifleischer', 'chief', 'turkey', 'saudis']","[(1507, 1), (5609, 1), (5610, 1), (5611, 1)]"
17988,"['friskycosplay', 'series', 'girl']","[(163, 1), (237, 1), (4491, 1)]"
17989,['titty'],"[(4919, 1)]"
17990,"['mango', 'chicken', 'recipe', 'easy', 'quick', 'chicken', 'recipe']","[(484, 1), (564, 1), (976, 2), (3985, 2), (5387, 1)]"
17991,"['dems', 'china', 'trump']","[(4, 1), (5, 1), (5612, 1)]"
17992,['tommy'],"[(315, 1)]"
17993,"['mikefletcher', 'happy', 'friday']","[(45, 1), (258, 1), (5613, 1)]"
17994,['houston'],"[(131, 1)]"
17995,['youtube'],"[(432, 1)]"
17997,"['luis', 'welcome']","[(210, 1), (211, 1)]"
17998,"['flynn', 'cooper', 'deep']","[(0, 1), (124, 1), (5282, 1)]"
18000,['banana'],"[(1029, 1)]"
18002,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
18003,"['carpe', 'diem']","[(5614, 1), (5615, 1)]"
18005,"['removing', 'crayon', 'fridge']","[(5616, 1), (5617, 1), (5618, 1)]"
18008,"['moms', 'congress']","[(49, 1), (2851, 1)]"
18009,"['tashhhhh', 'birthday']","[(44, 1), (5601, 1)]"
18010,"['free', 'testing', 'site']","[(343, 1), (1023, 1), (4391, 1)]"
18011,"['tanneedyson', 'lightweight']","[(5647, 1), (5648, 1)]"
18013,"['vinonstrosgal', 'extraction']","[(5649, 1), (5650, 1)]"
18014,"['mcdonalds', 'morning']","[(224, 1), (4884, 1)]"
18016,['twitter'],"[(27, 1)]"
18017,"['mask', 'policy', 'common', 'sense']","[(2048, 1), (2670, 1), (2671, 1), (3500, 1)]"
18019,"['funny', 'laugh']","[(436, 1), (5651, 1)]"
18020,['flame'],"[(169, 1)]"
18021,"['luis', 'welcome']","[(210, 1), (211, 1)]"
18022,['twitter'],"[(27, 1)]"
18023,"['pete', 'agents', 'draintheswamp']","[(392, 1), (393, 1), (394, 1)]"
18025,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
18026,['pregnan'],"[(5652, 1)]"
18027,"['daddyrambo', 'micah']","[(5054, 1), (5653, 1)]"
18028,"['human', 'landing', 'system', 'contracts', 'nasa', 'awarded']","[(41, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1)]"
18029,"['coronavirus', 'pregnant', 'nurse', 'cardiac', 'arrest']","[(157, 1), (682, 1), (1074, 1), (2058, 1), (3100, 1)]"
18030,"['panel', 'upcoming', 'page', 'divineacid']","[(173, 1), (5242, 1), (5243, 1), (5654, 1)]"
18031,"['shrimpy', 'neekolul']","[(5655, 1), (5656, 1)]"
18032,['natural'],"[(424, 1)]"
18034,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
18035,"['cruz', 'bill', 'contracts']","[(88, 1), (339, 1), (1125, 1)]"
18037,['accolade'],"[(5657, 1)]"
18039,"['strip', 'club', 'galleria']","[(611, 1), (613, 1), (4659, 1)]"
18041,['looooooong'],"[(1999, 1)]"
18042,"['month', 'favour']","[(128, 1), (3418, 1)]"
18043,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
18045,"['maffio', 'justin', 'quiles', 'nacho', 'shelow', 'shaq', 'cristina', 'shelow', 'shaq']","[(416, 1), (1071, 1), (2688, 2), (4116, 1), (5658, 1), (5659, 1), (5660, 2)]"
18046,"['blondepeter', 'jordan', 'community', 'organizer', 'anyday', 'idiot', 'trump']","[(4, 1), (8, 1), (355, 1), (5661, 1), (5662, 1), (5663, 1), (5664, 1)]"
18047,"['malik', 'esco', 'hardest']","[(1183, 1), (5631, 1), (5632, 1)]"
18049,"['post', 'hurt', 'audacity']","[(1111, 1), (1745, 1), (5633, 1)]"
18051,['type'],"[(125, 1)]"
18052,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
18053,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
18055,"['pellington', 'mrroyster']","[(4124, 1), (4125, 1)]"
18056,"['shesoraw', 'ghetto']","[(4105, 1), (5634, 1)]"
18058,"['community', 'family', 'fields']","[(8, 1), (94, 1), (4937, 1)]"
18063,"['sentedcruz', 'step', 'advice']","[(1049, 1), (1656, 1), (5517, 1)]"
18064,['trickfortazz'],"[(470, 1)]"
18065,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
18067,"['executive', 'producer', 'ayodeji', 'balogun']","[(1981, 1), (4247, 1), (4248, 1), (4249, 1)]"
18068,['wasn'],"[(1917, 1)]"
18069,['quran'],"[(105, 1)]"
18071,"['friday', 'perfection']","[(258, 1), (5635, 1)]"
18074,"['tara', 'reade', 'issue', 'disgusting', 'tactic']","[(1491, 1), (1894, 1), (1897, 1), (2701, 1), (2702, 1)]"
18075,['jerkaekae'],"[(5636, 1)]"
18076,"['domestic', 'violence', 'pray']","[(1412, 1), (3289, 1), (3293, 1)]"
18078,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
18081,"['lust', 'life', 'lana', 'weeknd']","[(138, 1), (5637, 1), (5638, 1), (5639, 1)]"
18083,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
18086,"['hvrrison', 'delete', 'twitter']","[(27, 1), (3678, 1), (5640, 1)]"
18087,['reason'],"[(1132, 1)]"
18089,['friday'],"[(258, 1)]"
18090,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
18091,['friday'],"[(258, 1)]"
18092,"['brew', 'tomball', 'kprc', 'kprc']","[(5665, 1), (5666, 2), (5667, 1)]"
18094,['vessel'],"[(5668, 1)]"
18096,"['chuck', 'cheese']","[(465, 1), (2669, 1)]"
18097,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
18098,"['children', 'actually']","[(4863, 1), (5669, 1)]"
18099,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
18100,['houston'],"[(131, 1)]"
18102,"['thepizzapopo', 'nataliecuellar']","[(5286, 1), (5670, 1)]"
18103,"['amber', 'alert', 'antonio', 'police', 'aurora', 'lopez']","[(182, 1), (746, 1), (830, 1), (4896, 1), (4897, 1), (4957, 1)]"
18104,['friday'],"[(258, 1)]"
18106,"['polls', 'aren', 'pillow', 'soft', 'society']","[(329, 1), (330, 1), (331, 1), (332, 1), (333, 1)]"
18107,"['drop', 'music']","[(79, 1), (980, 1)]"
18108,"['nicco', 'time']","[(76, 1), (1515, 1)]"
18110,"['christian', 'yelich']","[(1293, 1), (1294, 1)]"
18111,"['ccsutton', 'guilt']","[(5671, 1), (5672, 1)]"
18112,"['football', 'player']","[(73, 1), (508, 1)]"
18113,['kuwtk'],"[(5673, 1)]"
18115,"['house', 'mattress']","[(571, 1), (2884, 1)]"
18119,['caller'],"[(122, 1)]"
18120,"['pete', 'agents', 'draintheswamp']","[(392, 1), (393, 1), (394, 1)]"
18121,"['traffic', 'alert', 'deadly', 'crash', 'bridgestone', 'spring', 'leas']","[(2130, 1), (2295, 1), (2631, 1), (3101, 1), (3871, 1), (4596, 1), (4896, 1)]"
18122,['trickfortazz'],"[(470, 1)]"
18123,"['article', 'east', 'coast', 'settlement', 'debate', 'crucial', 'dates']","[(133, 1), (1523, 1), (5674, 1), (5675, 1), (5676, 1), (5677, 1), (5678, 1)]"
18124,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
18125,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
18126,"['jillianmele', 'happy', 'friday', 'jillian']","[(45, 1), (258, 1), (5679, 1), (5680, 1)]"
18129,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
